Inf,9.731,9.731,8.2357,8.2357,7.9887,7.9887,7.9887,7.7541,7.7541,7.7541,7.7229,7.5958,7.5958,7.4828,7.3089,7.3089,7.3089,7.2969,7.2969,7.2345,7.2345,7.2081,7.2081,7.1326,7.1326,7.1326,7.0681,7.0672,7.0672,7.0093,6.9764,6.9764,6.9764,6.9764,6.9764,6.95,6.95,6.9324,6.9182,6.9182,6.9182,6.9182,6.9109,6.9109,6.9001,6.8873,6.8867,6.8744,6.8744,6.8744,6.8744,6.8744,6.8744,6.8744,6.8674,6.8674,6.8674,6.8664,6.8632,6.8632,6.8632,6.8589,6.8554,6.8554,6.8532,6.8532,6.8532,6.8532,6.8532,6.8515,6.8507,6.8507,6.8501,6.8491,6.8466,6.8466,6.8466,6.8459,6.8452,6.8452,6.8452,6.8443,6.8443,6.8443,6.8443,6.8443,6.8443,6.8443,6.8443,6.8443,6.8441,6.8441,6.8439,6.8434,6.8434,6.8434,6.8433,6.8433,6.8433,6.8432,6.8432,6.8432,6.8432,6.8432,6.8432,6.8431,6.8431,6.8431,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843,6.843
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
