NaN,0,0,0,0,11760
NaN,0,0,0,0,11460
NaN,0,0,0,0,10230
NaN,0,0,0,0,10230
NaN,0,0,0,0,10230
NaN,0,0,0,0,11910
NaN,0,0,0,0,11910
NaN,0,0,0,0,10740
NaN,0,0,0,0,10920
NaN,0,0,0,0,10920
NaN,0,0,0,0,10230
NaN,0,0,0,0,10650
NaN,0,0,0,0,11910
NaN,0,0,0,0,9450
NaN,0,0,0,0,9030
NaN,0,0,0,0,9600
NaN,0,0,0,0,12090
NaN,0,0,0,0,11430
NaN,0,0,0,0,9990
NaN,0,0,0,0,9990
NaN,0,0,0,0,9990
NaN,0,0,0,0,11490
NaN,0,0,0,0,11490
NaN,0,0,0,0,12030
NaN,0,0,0,0,8670
NaN,0,0,0,0,10650
NaN,0,0,0,0,9990
NaN,0,0,0,0,11220
NaN,0,0,0,0,11490
NaN,0,0,0,0,10860
