-0.123725310036318+0i,-0.412113440579937+0i,-0.972700841165252+0i,-29879.7834718969+0i,5873.09687358804+0i,-6005.93869647293+0i,9.151874061412769e+22+0i,-0.09582419839166879+0i,887.870578723558+0i,6.187231793455489e+20+0i,0.7500954591241989+0i,-1+0i,0.07913858371271811+0i,-37.4457818926698+0i,977.521164936874+0i,1.0531257576562e+22+0i,1.63619793286217e+22+0i,-0.435845075742504+0i,164.933474494181+0i,0+0i,672.995381880744+0i,-2.61742348763015e+31+3.14159265358979e+21i,-374.472965376597+0i,-4.25278515266234+0i
-0.119773039839628+0i,-0.41142483555425+0i,-0.624412378788108+0i,-29674.9712235465+0i,1.54460777929898e+23+0i,-6273.24325232522+0i,9.88212795275016e+22+0i,-0.095423970472056+0i,836.029523258566+0i,7.69573552749137e+20+0i,0.750176628105082+0i,-1+0i,0.0105030036415561+0i,-38.550815266803+0i,975.593721530469+0i,1.12096057335778e+22+0i,3.09063659388942e+22+0i,-0.223949886109708+0i,376.988807690364+0i,0+0i,636.842178889146+0i,-9.79120768273752e+30+3.14159265358979e+21i,-45.2571427047366+0i,-4.47818133744722+0i
-0.156154979025145+0i,-0.411167593471934+0i,-0.581989685259106+0i,-30078.9884479192+0i,3.27742159272823e+23+0i,-6675.24412491369+0i,1.93222604935183e+22+0i,-0.079200565763556+0i,872.210353625753+0i,1.05971713857017e+21+0i,0.7500068490233049+0i,-1+0i,0.009991518378031521+0i,-34.9338084883234+0i,970.28717870847+0i,5.7463915547932e+21+0i,8.39292990700101e+22+0i,-0.237988853911418+0i,683.279094307131+0i,0+0i,543.652771545886+0i,-1.20289883921855e+31+3.14159265358979e+21i,-867.370734029731+0i,-5.22485783994728+0i
-1.00035738898918+0i,-0.463145806968085+0i,-0.7726832931525101+0i,-29869.1789533524+0i,8.515270910108781e+22+0i,-6259.3772102602+0i,9.01303428676233e+22+0i,-0.0248031297314318+0i,865.08620407711+0i,6.97777769335189e+20+0i,0.750217128664832+0i,-1+0i,0.012383818844495+0i,-36.4478983579275+0i,978.575368892834+0i,1.52291263233705e+22+0i,35034.9675576674+0i,-0.148277157686876+0i,205.519758738948+0i,0+0i,692.047617833774+0i,-6.98177324762624e+30+3.14159265358979e+21i,0+0i,-4.95644397979627+0i
-0.508686138245912+0i,-0.417806657663489+0i,-0.936126577327653+0i,-29815.8534139542+0i,2.43428480311566e+23+0i,-6110.68696000536+0i,1.33792202969237e+23+0i,-0.0174783045117173+0i,762.503604778008+0i,5.49093002798016e+20+0i,0.750075883162948+0i,-1+0i,0.00677250520199602+0i,-34.9338084883234+0i,969.933832330343+0i,1.64226909707549e+22+0i,7.23720793649329e+22+0i,-0.500227090623696+0i,164.80333229786+0i,0+0i,970.222925855802+0i,-7.56049956310659e+30+3.14159265358979e+21i,-0.818322803230895+0i,-4.32723927901502+0i
0+0i,-0.412608592782313+0i,-0.869924777218598+0i,-29740.953798773+0i,2.39950527256284e+23+0i,-6117.19238597684+0i,3.95293601108395e+22+0i,-0.0925910199318503+0i,898.000584133743+0i,9.02913111785604e+20+0i,0.75003212004346+0i,-1+0i,0.0955884912722417+0i,-36.9172727531639+0i,975.096410192943+0i,1.21795508397226e+22+0i,5.49642875455909e+22+0i,-0.0568388166792041+0i,204.533363802956+0i,0+0i,619.976219717402+0i,-7.56098999384237e+30+3.14159265358979e+21i,0+0i,-4.37791274651382+0i
-0.156730890462022+0i,-0.411588444200671+0i,-0.521729074606718+0i,-29675.9936784163+0i,8.04943268630934e+22+0i,-6119.00400057828+0i,7.68292851836452e+22+0i,-0.09083340130208389+0i,890.256209236802+0i,9.47890499692749e+20+0i,0.750364634562139+0i,-1+0i,0.00848482798712508+0i,-37.2889474009372+0i,972.208841047431+0i,1.27774297840186e+22+0i,4.2964759565123e+22+0i,-0.460487802450696+0i,197.220923155608+0i,0+0i,709.695234055911+0i,-7.560499491303489e+30+3.14159265358979e+21i,0+0i,-4.77483373489992+0i
-0.29171298920193+0i,-0.411665842386532+0i,-0.91612662795929+0i,-29583.8870003124+0i,3.25452833347504e+21+0i,1.1656045718549e+21+0i,1.21653468466264e+23+0i,-0.0271088064453201+0i,857.716903747881+0i,2.94261605281164e+20+0i,0.7500429348716871+0i,-1+0i,0.008641276452694311+0i,-34.9338084883234+0i,969.517616329866+0i,4.85062903322589e+21+0i,28140.4136586396+0i,-0.102672292739876+0i,511.250961672254+0i,0+0i,610.655231112012+0i,-7.56049952517116e+30+3.14159265358979e+21i,0+0i,-5.10184038774815+0i
-0.171902722874284+0i,-0.415628942665447+0i,-0.733478507577065+0i,-29790.2087286963+0i,9.97746797867671e+21+0i,-5984.04277839403+0i,1.16366304615173e+23+0i,-0.021596464418057+0i,857.129729832367+0i,5.62961884926684e+20+0i,0.7502536154649589+0i,-1+0i,0.008030778167974239+0i,-35.5471876696689+0i,972.044197658442+0i,8.85275558030266e+21+0i,34428.0171201323+0i,-0.225040287606943+0i,248.516248139007+0i,0+0i,791.092961502753+0i,-7.56049951993693e+30+3.14159265358979e+21i,-292.590995168014+0i,-5.22999452749209+0i
-0.0916176663751738+0i,-0.413585361106602+0i,-0.6754092225719041+0i,-30277.4545589817+0i,1.6150580550319e+23+0i,5.259571434013e+20+0i,8.50716263935227e+22+0i,5.78628085769087e+20+0i,821.177869430212+0i,7.35854438340692e+20+0i,0.750098979981332+0i,-1+0i,0.0222687207673811+0i,-37.997155176811+0i,966.806590841132+0i,9.52790862718851e+21+0i,3.55896634201624e+22+0i,-0.139984100792865+0i,190.48482471863+0i,0+0i,696.735724478797+0i,-7.593979180805761e+30+3.14159265358979e+21i,-30.143911810158+0i,-3.98170036853485+0i
