Inf,18284,12544,6836.3,5681.2,5317.4,5059.4,3713.6,3469.1,3228.8,3228.8,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,110.65,4.3731,3.4081,2.9932,2.3882,2.01,1.7536,1.2109,1.0973,1.0745,0.72066,0.52739,0.4259,0.34021,0.27069,0.21288,0.1844,0.16295,0.14818,0.12432,0.062257,0.054314,0.054314,0.048793,0.031556,0.031416,0.02405,0.021206,0.018533,0.013458,0.013458,0.012547,0.010896,0.0089862,0.00819,0.006429,0.0058225,0.0057374,0.005435,0.0052252,0.0050291,0.0040147,0.0033708,0.003261,0.0026005,0.0025806,0.0024007,0.0021394,0.0017897,0.0017187,0.0011654,0.0011468,0.00090547,0.00073408,0.00072356,0.00061948,0.00051964,0.00040474,0.00034308,0.00031094,0.00028893,0.00027978,0.00023437,0.00020293,0.00019609,0.00019089,0.00018347,0.00016616,0.00015445,0.00012489,9.3927e-05,7.5361e-05,7.2092e-05,6.0141e-05,5.0566e-05,3.2287e-05,2.9152e-05,2.5402e-05,2.5198e-05,1.7792e-05,1.557e-05,1.4987e-05,1.4706e-05,1.1044e-05,1.1037e-05
0,2,4,6,8,10,12,14,16,18,20,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264
