Inf,3172.8,740.17,477.82,169.64,53.955,33.119,20.807,16.579,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138,0.0002138
0,10,20,30,40,50,60,70,80,250,260,270,280,290,300,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560
