Inf,72.799,72.799,40.946,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,40.56,1.0346e-05
0,30,40,50,70,80,140,160,170,180,190,300,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,490,500,510,530,540,550,560,580,590,600,610,630,640,650,660,670,700,710,720,730,800,810,820,830,840,850,860
