Inf,37924,27912,27912,23257,23257,18389,10795,10795,5230.8,5230.8,5230.8,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228,-61.228
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,21,22,23,24,25,26,27,28,33,34,35,36,37,38,43,44,45,46,47,48,49,50,51,57,58,59,60,61,66
