Inf,3438.6,3305.8,3223.1,3157.1,3142.9,3138.4,3092.5,3081.7,3041.8,3040.1,3036,3033.9,3033.9,3033.9,3033.9,3033.9
0,1,2,3,4,5,6,7,8,9,10,11,12,17,18,19,20
