Inf,0.10771,0.083288,0.083288,0.083288,0.083288,0.083288,0.083288,0.083288,0.068801,0.068801,0.068801,0.068801,0.062191,0.062191,0.062191,0.058189,0.056917,0.054264,0.043921,0.043921,0.043921,0.043921,0.040633,0.035539,0.035539,0.035539,0.034935,0.034935,0.034765,0.034765,0.034765,0.034765,0.034765,0.034765,0.034765,0.034701,0.034701,0.034484,0.034337,0.034337,0.034337,0.034256,0.033988,0.033988,0.033988,0.033962,0.033956,0.033886,0.033886,0.03388,0.033864,0.033842,0.033747,0.033528,0.033345,0.033345,0.033345,0.033345,0.033345,0.03332,0.03332,0.033314,0.033314,0.033313,0.033265,0.033265,0.033265,0.033265,0.03322,0.033104,0.0331,0.0331,0.0331,0.033099,0.033093,0.033026,0.032925,0.03287,0.032856,0.032851,0.032772,0.032757,0.032757,0.032735,0.032674,0.032646,0.032646,0.032463,0.032445,0.032445,0.032445,0.032445,0.032445,0.032406,0.032386,0.032386,0.032355,0.032355,0.03226,0.03226
0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192,194,196,198,200
