Inf,1.6646e+21,1.6646e+21,9.5984e+20,2.3691e+19,-7.105e-07,-7.105e-07,-3.8689e-05,-3.8689e-05,-3.8689e-05,-0.024749,-0.024749,-0.024749,-0.044555,-0.061124,-0.061124,-0.061124,-0.061124,-0.061124,-0.061124,-0.061124,-0.061124,-0.081743,-0.081743,-0.081743,-0.094952,-0.094952,-0.094952,-0.094952,-0.094952,-0.094952,-0.094952,-0.094952,-0.094952,-0.095784,-0.095784,-0.095784,-0.095784,-0.095784,-0.095784,-0.095784,-0.095784,-0.095784,-0.095807,-0.095807,-0.095807,-0.095807,-0.095807,-0.095807,-0.095813,-0.095813,-0.095825
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
