Inf,-4.1036,-4.4612,-4.4612,-4.4612,-4.4612,-4.4612,-4.4612,-4.4694,-4.4694,-4.6501,-4.6501,-4.6501,-4.991,-5.2588,-5.2588,-5.2588,-5.2588,-5.2588,-5.2588,-5.341,-5.341,-5.341,-5.341,-5.341,-5.3477,-5.4047,-5.4047,-5.4047,-5.4066,-5.4117,-5.4769,-5.4769,-5.4769,-5.4779,-5.4779,-5.4793,-5.4941,-5.4941,-5.4941,-5.5005,-5.5005,-5.5005,-5.5005,-5.5005,-5.5005,-5.5005,-5.5005,-5.5005,-5.5023,-5.5023,-5.5023,-5.5023,-5.5023,-5.5023,-5.5023,-5.5042,-5.5042,-5.5042,-5.5058,-5.5067,-5.5067,-5.5067,-5.5067,-5.5074,-5.5074,-5.5074,-5.5074,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.5078,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508,-5.508
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
