Inf,-0.95433,-0.95433,-0.95914,-0.96965,-0.96965,-0.97263,-0.97601,-0.97601,-0.97866,-0.99184,-0.99184,-0.99185,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99954,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974,-0.99991,-0.99991,-0.99991,-0.99991,-0.99991,-0.99991,-0.99993,-0.99993,-0.99993,-0.99993,-0.99993,-0.99993,-0.99996,-0.99996,-0.99997,-1
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
