Inf,-0.89844,-0.89844,-0.98531,-0.98531,-0.98531,-0.98531,-0.98531,-0.98531,-0.98914,-0.98914,-0.98914,-0.98914,-0.98914,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99961,-0.99989,-0.99989,-0.99989,-0.99989,-0.99993,-0.99993,-0.99993,-0.99993,-0.99997,-0.99997,-0.99997,-0.99997,-0.99997,-0.99997,-0.99998,-0.99998,-0.99998,-0.99998,-0.99998,-0.99999,-0.99999,-0.99999,-0.99999,-0.99999,-0.99999,-1
0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
